"ObservationDate","Country.Region","Confirmed","Deaths","Recovered"
"01/22/2020","China",547,17,28
"01/23/2020","China",641,18,30
"01/24/2020","China",918,26,36
"01/25/2020","China",1404,42,39
"01/26/2020","China",2070,56,49
"01/27/2020","China",2871,82,58
"01/28/2020","China",5502,131,101
"01/29/2020","China",6080,133,120
"01/30/2020","China",8134,171,135
"01/31/2020","China",9795,213,214
"02/01/2020","China",11884,259,275
"02/02/2020","China",16622,361,463
"02/03/2020","China",19708,425,614
"02/04/2020","China",23697,491,843
"02/05/2020","China",27430,563,1115
"02/06/2020","China",30577,633,1476
"02/07/2020","China",34100,718,1998
"02/08/2020","China",36804,805,2595
"02/09/2020","China",39819,905,3218
"02/10/2020","China",42344,1012,3917
"02/11/2020","China",44376,1112,4635
"02/12/2020","China",44749,1117,5080
"02/13/2020","China",59885,1369,6214
"02/14/2020","China",66348,1521,7974
"02/15/2020","China",68403,1663,9295
"02/16/2020","China",70503,1766,10750
"02/17/2020","China",72424,1864,12457
"02/18/2020","China",74201,2003,14201
"02/19/2020","China",74609,2116,15957
"02/20/2020","China",75067,2238,18008
"02/21/2020","China",75540,2238,18698
"02/22/2020","China",76991,2443,22693
"02/23/2020","China",77012,2445,23181
"02/24/2020","China",77231,2595,25009
"02/25/2020","China",77744,2665,27669
"02/26/2020","China",78156,2717,30077
"02/27/2020","China",78590,2746,32922
"02/28/2020","China",78918,2790,36321
"02/29/2020","China",79346,2837,39312
"03/01/2020","China",79922,2872,42154
"03/02/2020","China",80126,2914,44846
"03/03/2020","China",80251,2947,47441
"03/04/2020","China",80376,2983,49992
"03/05/2020","China",80527,3015,52283
"03/06/2020","China",80680,3044,53934
"03/07/2020","China",80760,3072,55529
"03/08/2020","China",80813,3100,57378
"03/09/2020","China",80850,3123,58794
"03/10/2020","China",80877,3139,60171
"03/11/2020","China",80911,3161,61634
"03/12/2020","China",80922,3172,62891
"03/13/2020","China",80935,3180,64186
"03/14/2020","China",80967,3193,65650
"03/15/2020","China",80993,3203,67007
"03/16/2020","China",81022,3217,67900
"03/17/2020","China",81046,3230,68788
"03/18/2020","China",81087,3241,69745
"03/19/2020","China",81139,3249,70525
"03/20/2020","China",81233,3253,71256
"03/21/2020","China",81287,3259,71847
"03/22/2020","China",81377,3265,72352
"03/23/2020","China",81472,3274,72809
"03/24/2020","China",81566,3281,73264
"03/25/2020","China",81631,3285,73757
"03/26/2020","China",81751,3291,74165
"03/27/2020","China",81864,3296,74704
"03/28/2020","China",81962,3299,75084
"03/29/2020","China",82085,3304,75566
"03/30/2020","China",82160,3308,75907
"03/31/2020","China",82238,3309,76190
"04/01/2020","China",82320,3316,76389
"04/02/2020","China",82391,3322,76555
"04/03/2020","China",82468,3326,76750
"04/04/2020","China",82500,3330,76936
"04/05/2020","China",82558,3333,77197
"04/06/2020","China",82621,3335,77300
"04/07/2020","China",82674,3335,77400
"04/08/2020","China",82764,3337,77557
"04/09/2020","China",82838,3339,77669
"04/10/2020","China",82896,3340,77781
"04/11/2020","China",82969,3343,77867
"04/12/2020","China",83089,3343,77943
"04/13/2020","China",83168,3345,78026
"04/14/2020","China",83261,3345,78187
"04/15/2020","China",83311,3346,78295
"04/16/2020","China",83358,3346,78385
"04/17/2020","China",83715,4636,77536
"04/18/2020","China",83742,4636,77597
"04/19/2020","China",83760,4636,77670
"04/20/2020","China",83772,4636,77723
"04/21/2020","China",83808,4636,77775
"04/22/2020","China",83823,4636,77835
"04/23/2020","China",83839,4636,77956
"04/24/2020","China",83854,4636,78082
"04/25/2020","China",83864,4636,78147
"04/26/2020","China",83867,4637,78246
"04/27/2020","China",83873,4637,78342
"04/28/2020","China",83895,4637,78389
"04/29/2020","China",83899,4637,78440
"04/30/2020","China",83911,4637,78488
"05/01/2020","China",83914,4637,78538
"05/02/2020","China",83914,4637,78549
"05/03/2020","China",83919,4637,78645
"05/04/2020","China",83921,4637,78753
"05/05/2020","China",83923,4637,78831
"05/06/2020","China",83925,4637,78889
"05/07/2020","China",83930,4637,78937
"05/08/2020","China",83931,4637,78953
"05/09/2020","China",83945,4637,79087
"05/10/2020","China",83965,4637,79126
"05/11/2020","China",83966,4637,79156
"05/12/2020","China",83973,4637,79180
"05/13/2020","China",83979,4637,79203
"05/14/2020","China",83984,4637,79218
"05/15/2020","China",83993,4637,79238
"05/16/2020","China",83999,4638,79249
"05/17/2020","China",84009,4638,79262
"05/18/2020","China",84018,4638,79266
"05/19/2020","China",84018,4638,79266
"05/20/2020","China",84018,4638,79266
"05/21/2020","China",84018,4638,79266
"05/22/2020","China",84036,4638,79287
"05/23/2020","China",84039,4638,79290
"05/24/2020","China",84050,4638,79298
"05/25/2020","China",84057,4638,79307
"05/26/2020","China",84058,4638,79313
"05/27/2020","China",84061,4638,79322
"05/28/2020","China",84061,4638,79326
"05/29/2020","China",84078,4638,79337
"05/30/2020","China",84083,4638,79341
"05/31/2020","China",84101,4638,79344
"06/01/2020","China",84109,4638,79353
"06/02/2020","China",84116,4638,79355
"06/03/2020","China",84115,4638,79359
"06/04/2020","China",84126,4638,79370
